patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quý cô Lâm Phạm,361368508824,1940s,0590756497,wnguyen@example.org,"5 Phạm Làng, Huyện JaneThị xã, 139839",Huyết áp cao,5.71,Linh Hoàng,28/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Cô Khoa Hoàng,904105080840,1960s,0702457684,john47@example.net,"241 Hoàng Ngõ, Thị xã JohnThị xã, 113714",Tim mạch,11.32,Cô Mai Hoàng,23/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Hạnh Mai,061811368623,1970s,0753526195,phamjane@example.net,"563 Phạm Khu, Thị xã JohnHuyện, 443049",Khỏe mạnh,8.46,Nhiên Trần,13/03/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Bác Vũ Đặng,409738801182,1980s,0833923200,johnbui@example.com,"091 John Ngõ, Huyện JohnThành phố, 523175",Huyết áp cao,5.61,Quý cô Nhật Lê,15/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,An Đức Trần,458770903163,1990s,0771276671,jane81@example.com,"2 John Tổ, JohnQuận, 960156",Tiểu đường,8.57,Anh Lê,29/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Bà Lan Dương,014181637376,1950s,0374240573,janedang@example.org,"837 Lê Số, Thành phố JaneXã, 431004",Tiểu đường,8.06,Anh Lê,20/03/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Yến Dương,863278453213,1970s,0900345146,buijohn@example.net,"238 Trần Số, Quận JohnThành phố, 115312",Huyết áp cao,6.89,Ông Tú Trần,04/02/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,An Lê,023014763908,1980s,0549403427,johnduong@example.net,"008 Hoàng Làng, Thành phố JohnThị xã, 489635",Huyết áp cao,9.75,Chị Lan Lê,31/05/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Kim Xuân Nguyễn,624336142841,1970s,0843018332,xpham@example.org,"781 Phạm Ngõ, JohnHuyện, 651950",Tim mạch,7.82,Quý cô Bảo Bùi,11/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Ông Huy Lê,586866235296,1990s,0962625008,janedang@example.com,"17 Vũ Hẻm, Huyện JaneThị xã, 960166",Tiểu đường,8.11,Bác Tú Nguyễn,24/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Phương Quang Mai,642519675572,1980s,0583735676,janebui@example.org,"6 Đặng Dãy, JaneThị xã, 796252",Tim mạch,4.92,Ánh Vũ,28/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Chi Mai,466406873570,1970s,0510053861,iduong@example.net,"3 Jane Làng, JohnThị xã, 353064",Tiểu đường,6.21,Bà Kim Dương,23/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Chị Hương Phạm,805544569520,1950s,0854117758,maijohn@example.org,"742 Jane Tổ, JohnPhường, 691334",Tim mạch,4.55,Tùng Đức Vũ,29/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Tú Xuân Trần,448874567743,1950s,0990677932,pnguyen@example.org,"33 Trần Ngõ, JaneHuyện, 827326",Huyết áp cao,11.76,Bác Tùng Nguyễn,23/06/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Ông Khoa Lê,830348222935,1970s,0320946541,janehoang@example.org,"8 Jane Khu, Thị xã JohnQuận, 971205",Tim mạch,5.53,Nhật Mai,02/04/2026
6703b636-5380-4904-a88c-7015aab97e49,Bà Yến Dương,806882652183,1940s,0966859786,jane54@example.net,"09 Mai Tổ, JaneQuận, 209629",Khỏe mạnh,3.71,Chị Lâm Nguyễn,29/04/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Quý cô Hồng Bùi,628323410631,1950s,0981458979,janepham@example.com,"987 Nguyễn Tổ, JaneThị xã, 760627",Huyết áp cao,10.81,Quý ông Thành Hoàng,09/02/2026
